CustomerKey,AddressLine1,CommuteDistance,EmailAddress,FirstName,LastName,Gender,Phone,YearlyIncome,MaritalStatus,GeographyKey,EnglishEducation,EnglishOccupation,TotalChildren
11019,7832 Landing Dr,5-10 Miles,luke18@adventure-works.com,Luke,Lal,M,262-555-0112,"$40,000.00 ",S,52,High School,Skilled Manual,0
11020,7156 Rose Dr.,1-2 Miles,jordan73@adventure-works.com,Jordan,King,M,550-555-0163,"$40,000.00 ",S,53,High School,Skilled Manual,0
11021,8148 W. Lake Dr.,1-2 Miles,destiny7@adventure-works.com,Destiny,Wilson,F,622-555-0158,"$40,000.00 ",S,536,Partial College,Skilled Manual,0
11022,1769 Nicholas Drive,5-10 Miles,ethan20@adventure-works.com,Ethan,Zhang,M,589-555-0185,"$40,000.00 ",M,609,Partial College,Skilled Manual,0
11023,4499 Valley Crest,1-2 Miles,seth46@adventure-works.com,Seth,Edwards,M,452-555-0188,"$40,000.00 ",M,298,Partial College,Skilled Manual,0
11024,8734 Oxford Place,5-10 Miles,russell7@adventure-works.com,Russell,Xie,M,746-555-0186,"$60,000.00 ",M,311,Partial College,Skilled Manual,0
11025,2596 Franklin Canyon Road,1-2 Miles,alejandro45@adventure-works.com,Alejandro,Beck,M,1 (11) 500 555-0178,"$10,000.00 ",M,24,Partial High School,Clerical,2
11026,8211 Leeds Ct.,1-2 Miles,harold3@adventure-works.com,Harold,Sai,M,1 (11) 500 555-0131,"$30,000.00 ",S,4,Partial College,Clerical,2
11027,213 Valencia Place,5-10 Miles,jessie16@adventure-works.com,Jessie,Zhao,M,1 (11) 500 555-0184,"$30,000.00 ",M,40,Partial College,Clerical,2
11028,9111 Rose Ann Ave,1-2 Miles,jill13@adventure-works.com,Jill,Jimenez,F,1 (11) 500 555-0116,"$30,000.00 ",M,17,Partial College,Clerical,2
11029,6385 Mark Twain,1-2 Miles,jimmy9@adventure-works.com,Jimmy,Moreno,M,1 (11) 500 555-0146,"$30,000.00 ",M,32,Partial College,Clerical,2
11030,636 Vine Hill Way,1-2 Miles,bethany10@adventure-works.com,Bethany,Yuan,F,1 (11) 500 555-0182,"$10,000.00 ",M,28,Partial High School,Clerical,2
11031,6465 Detroit Ave.,1-2 Miles,theresa13@adventure-works.com,Theresa,Ramos,F,1 (11) 500 555-0195,"$20,000.00 ",M,8,High School,Skilled Manual,4
11032,626 Bentley Street,1-2 Miles,denise10@adventure-works.com,Denise,Stone,F,1 (11) 500 555-0169,"$20,000.00 ",M,35,High School,Skilled Manual,4
11033,5927 Rainbow Dr,5-10 Miles,jaime41@adventure-works.com,Jaime,Nath,M,1 (11) 500 555-0137,"$20,000.00 ",M,9,High School,Skilled Manual,4
11034,5167 Condor Place,5-10 Miles,ebony19@adventure-works.com,Ebony,Gonzalez,F,1 (11) 500 555-0136,"$20,000.00 ",M,12,High School,Skilled Manual,4
11035,1873 Mt. Whitney Dr,1-2 Miles,wendy12@adventure-works.com,Wendy,Dominguez,F,1 (11) 500 555-0177,"$10,000.00 ",M,33,Partial High School,Clerical,2
11036,3981 Augustine Drive,1-2 Miles,jennifer93@adventure-works.com,Jennifer,Russell,F,115-555-0183,"$60,000.00 ",M,343,Partial College,Skilled Manual,0
11037,8915 Woodside Way,5-10 Miles,chloe27@adventure-works.com,Chloe,Garcia,F,229-555-0112,"$40,000.00 ",S,49,Partial High School,Clerical,0
11038,8357 Sandy Cove Lane,5-10 Miles,diana2@adventure-works.com,Diana,Hernandez,F,1 (11) 500 555-0114,"$10,000.00 ",M,6,Partial High School,Clerical,2
11039,9353 Creekside Dr.,5-10 Miles,marc3@adventure-works.com,Marc,Martin,M,1 (11) 500 555-0183,"$30,000.00 ",M,19,Partial College,Clerical,3
11040,3350 Kingswood Circle,1-2 Miles,jesse15@adventure-works.com,Jesse,Murphy,M,961-555-0176,"$30,000.00 ",M,642,Partial College,Skilled Manual,0
11041,5826 Escobar,1-2 Miles,amanda53@adventure-works.com,Amanda,Carter,F,295-555-0145,"$60,000.00 ",M,325,Partial College,Skilled Manual,0
11042,1397 Paraiso Ct.,0-1 Miles,megan28@adventure-works.com,Megan,Sanchez,F,404-555-0199,"$70,000.00 ",M,338,Partial College,Skilled Manual,0
11043,1170 Shaw Rd,5-10 Miles,nathan11@adventure-works.com,Nathan,Simmons,M,296-555-0181,"$60,000.00 ",M,325,Partial College,Skilled Manual,0
11044,6935 Candle Dr,1-2 Miles,adam10@adventure-works.com,Adam,Flores,M,1 (11) 500 555-0163,"$20,000.00 ",M,25,Partial High School,Clerical,2
11045,7466 La Vista Ave.,1-2 Miles,leonard18@adventure-works.com,Leonard,Nara,M,1 (11) 500 555-0151,"$30,000.00 ",S,8,High School,Skilled Manual,3
11046,2356 Orange St,5-10 Miles,christine4@adventure-works.com,Christine,Yuan,F,1 (11) 500 555-0113,"$30,000.00 ",M,6,High School,Skilled Manual,3
11047,2812 Mazatlan,1-2 Miles,jaclyn12@adventure-works.com,Jaclyn,Lu,F,1 (11) 500 555-0137,"$30,000.00 ",M,34,High School,Skilled Manual,3
11048,1803 Potomac Dr.,5-10 Miles,jeremy26@adventure-works.com,Jeremy,Powell,M,1 (11) 500 555-0183,"$30,000.00 ",M,39,High School,Skilled Manual,3
11049,6064 Madrid,5-10 Miles,carol8@adventure-works.com,Carol,Rai,F,654-555-0180,"$40,000.00 ",S,307,Partial High School,Clerical,0
11050,2741 Gainborough Dr.,5-10 Miles,alan23@adventure-works.com,Alan,Zheng,M,1 (11) 500 555-0135,"$30,000.00 ",M,31,High School,Skilled Manual,3
11051,8085 Sunnyvale Avenue,1-2 Miles,daniel18@adventure-works.com,Daniel,Johnson,M,1 (11) 500 555-0155,"$30,000.00 ",S,21,High School,Skilled Manual,3
11052,2514 Via Cordona,5-10 Miles,heidi19@adventure-works.com,Heidi,Lopez,F,1 (11) 500 555-0168,"$40,000.00 ",S,8,Partial College,Clerical,2
11053,1660 Stonyhill Circle,1-2 Miles,ana0@adventure-works.com,Ana,Price,F,859-555-0113,"$60,000.00 ",M,359,Partial College,Skilled Manual,0
11054,5825 B Way,5-10 Miles,deanna33@adventure-works.com,Deanna,Munoz,F,1 (11) 500 555-0192,"$40,000.00 ",M,34,Partial College,Skilled Manual,2
11055,8811 The Trees Dr.,5-10 Miles,gilbert35@adventure-works.com,Gilbert,Raje,M,1 (11) 500 555-0129,"$40,000.00 ",M,22,Partial College,Skilled Manual,2
11056,5464 Janin Pl.,5-10 Miles,michele19@adventure-works.com,Michele,Nath,F,1 (11) 500 555-0178,"$40,000.00 ",M,10,Partial College,Skilled Manual,3
11057,6930 Lake Nadine Place,1-2 Miles,carl12@adventure-works.com,Carl,Andersen,M,1 (11) 500 555-0181,"$70,000.00 ",M,5,Graduate Degree,Management,2
11058,6645 Sinaloa,1-2 Miles,marc6@adventure-works.com,Marc,Diaz,M,1 (11) 500 555-0149,"$80,000.00 ",M,29,Partial College,Skilled Manual,2
11059,8255 Highland Road,5-10 Miles,ashlee19@adventure-works.com,Ashlee,Andersen,F,1 (11) 500 555-0112,"$80,000.00 ",S,27,Partial College,Skilled Manual,2
11060,6574 Hemlock Ave.,5-10 Miles,jon28@adventure-works.com,Jon,Zhou,M,1 (11) 500 555-0174,"$80,000.00 ",M,40,Partial College,Skilled Manual,2
11061,8808 Geneva Ave,5-10 Miles,todd14@adventure-works.com,Todd,Gao,M,1 (11) 500 555-0191,"$80,000.00 ",M,23,Partial College,Skilled Manual,2
11062,9794 Marion Ct,5-10 Miles,noah5@adventure-works.com,Noah,Powell,M,767-555-0113,"$40,000.00 ",M,547,High School,Skilled Manual,0
11063,4927 Virgil Street,5-10 Miles,angela41@adventure-works.com,Angela,Murphy,F,451-555-0162,"$40,000.00 ",S,634,High School,Skilled Manual,0
11064,2721 Alexander Pl.,5-10 Miles,chase21@adventure-works.com,Chase,Reed,M,892-555-0184,"$40,000.00 ",M,315,High School,Skilled Manual,0
11065,9343 Ironwood Way,1-2 Miles,jessica29@adventure-works.com,Jessica,Henderson,F,278-555-0186,"$60,000.00 ",M,331,Partial College,Skilled Manual,0
11066,4739 Garden Ave.,5-10 Miles,grace62@adventure-works.com,Grace,Butler,F,712-555-0141,"$70,000.00 ",M,543,Partial College,Professional,0
11067,9563 Pennsylvania Blvd.,5-10 Miles,caleb40@adventure-works.com,Caleb,Carter,M,944-555-0167,"$60,000.00 ",S,632,Partial College,Professional,0
11068,3608 Sinclair Avenue,5-10 Miles,tiffany17@adventure-works.com,Tiffany,Liang,F,1 (11) 500 555-0177,"$80,000.00 ",S,40,High School,Skilled Manual,2
11069,4606 Springwood Court,1-2 Miles,carolyn30@adventure-works.com,Carolyn,Navarro,F,1 (11) 500 555-0145,"$80,000.00 ",S,23,High School,Skilled Manual,2
11070,6260 Vernal Drive,5-10 Miles,willie40@adventure-works.com,Willie,Raji,M,1 (11) 500 555-0151,"$80,000.00 ",M,39,High School,Skilled Manual,2
11071,9808 Shaw Rd.,5-10 Miles,linda31@adventure-works.com,Linda,Serrano,F,1 (11) 500 555-0130,"$80,000.00 ",S,24,High School,Skilled Manual,2
11072,9513 Roslyn Drive,1-2 Miles,casey6@adventure-works.com,Casey,Luo,F,1 (11) 500 555-0125,"$80,000.00 ",S,17,High School,Skilled Manual,2
11073,2262 Kirkwood Ct.,5-10 Miles,amy16@adventure-works.com,Amy,Ye,F,1 (11) 500 555-0185,"$70,000.00 ",S,16,High School,Skilled Manual,2
11074,4661 Bluetail,5-10 Miles,levi6@adventure-works.com,Levi,Arun,M,1 (11) 500 555-0127,"$70,000.00 ",S,28,High School,Skilled Manual,2
11075,786 Eastgate Ave,5-10 Miles,felicia4@adventure-works.com,Felicia,Jimenez,F,1 (11) 500 555-0165,"$80,000.00 ",S,32,High School,Professional,2
11076,5436 Clear,5-10 Miles,blake9@adventure-works.com,Blake,Anderson,M,1 (11) 500 555-0113,"$80,000.00 ",S,19,High School,Professional,2
11077,1291 Arguello Blvd.,1-2 Miles,leah7@adventure-works.com,Leah,Ye,F,1 (11) 500 555-0154,"$80,000.00 ",S,36,High School,Professional,2
11078,1349 Sol St.,1-2 Miles,gina1@adventure-works.com,Gina,Martin,F,196-555-0114,"$40,000.00 ",S,49,High School,Professional,0
11079,4236 Malibu Place,0-1 Miles,donald20@adventure-works.com,Donald,Gonzalez,M,1 (11) 500 555-0137,"$160,000.00 ",S,34,Graduate Degree,Management,0
11080,9941 Stonehedge Dr.,0-1 Miles,damien32@adventure-works.com,Damien,Chander,M,1 (11) 500 555-0111,"$170,000.00 ",M,30,Graduate Degree,Management,0
11081,1210 Trafalgar Circle,2-5 Miles,savannah39@adventure-works.com,Savannah,Baker,F,478-555-0117,"$120,000.00 ",M,311,Bachelors,Management,2
11082,6040 Listing Ct,1-2 Miles,angela17@adventure-works.com,Angela,Butler,F,579-555-0195,"$130,000.00 ",S,322,Graduate Degree,Management,0
11083,867 La Orinda Place,1-2 Miles,alyssa37@adventure-works.com,Alyssa,Cox,F,561-555-0140,"$130,000.00 ",M,336,Graduate Degree,Management,0
11084,8668 St. Celestine Court,1-2 Miles,lucas7@adventure-works.com,Lucas,Phillips,M,863-555-0172,"$80,000.00 ",S,543,Partial High School,Skilled Manual,2
11085,7926 Stephanie Way,5-10 Miles,emily1@adventure-works.com,Emily,Johnson,F,850-555-0184,"$60,000.00 ",S,345,High School,Professional,2
11086,2939 Wesley Ct.,0-1 Miles,ryan43@adventure-works.com,Ryan,Brown,M,539-555-0198,"$70,000.00 ",M,369,Partial College,Professional,2
11087,3791 Rossmor Parkway,0-1 Miles,tamara6@adventure-works.com,Tamara,Liang,F,178-555-0152,"$70,000.00 ",M,307,Partial College,Professional,3
11088,4308 Sand Pointe Lane,2-5 Miles,hunter64@adventure-works.com,Hunter,Davis,M,612-555-0141,"$80,000.00 ",M,359,Bachelors,Management,2
11089,2685 Blackburn Ct,2-5 Miles,abigail25@adventure-works.com,Abigail,Price,F,532-555-0117,"$80,000.00 ",S,337,Bachelors,Management,2
11090,5781 Sharon Dr.,2-5 Miles,trevor18@adventure-works.com,Trevor,Bryant,M,853-555-0174,"$90,000.00 ",S,338,Partial College,Professional,2
11091,6083 San Jose,5-10 Miles,dalton37@adventure-works.com,Dalton,Perez,M,559-555-0115,"$90,000.00 ",M,50,Partial College,Professional,2
11092,7297 Kaywood Drive,1-2 Miles,cheryl4@adventure-works.com,Cheryl,Diaz,F,1 (11) 500 555-0192,"$90,000.00 ",M,22,Bachelors,Professional,2
11093,1833 Olympic Drive,0-1 Miles,aimee13@adventure-works.com,Aimee,He,F,1 (11) 500 555-0161,"$100,000.00 ",M,19,Graduate Degree,Management,0
11094,3407 Oak Brook Place,0-1 Miles,cedric15@adventure-works.com,Cedric,Ma,M,1 (11) 500 555-0115,"$70,000.00 ",S,33,Partial College,Skilled Manual,1
11095,1681 Lighthouse Way,5-10 Miles,chad9@adventure-works.com,Chad,Kumar,M,1 (11) 500 555-0151,"$70,000.00 ",S,13,Partial College,Skilled Manual,1
11096,5423 Los Gatos Ct.,5-10 Miles,andrés18@adventure-works.com,Andrés,Anand,M,1 (11) 500 555-0184,"$60,000.00 ",M,12,Bachelors,Professional,1
11097,719 William Way,5-10 Miles,edwin39@adventure-works.com,Edwin,Nara,M,1 (11) 500 555-0112,"$60,000.00 ",M,40,Partial College,Skilled Manual,1
11098,6452 Harris Circle,0-1 Miles,mallory7@adventure-works.com,Mallory,Rubio,F,1 (11) 500 555-0157,"$60,000.00 ",S,14,Partial College,Skilled Manual,1
11099,4378 Westminster Place,0-1 Miles,adam2@adventure-works.com,Adam,Ross,M,1 (11) 500 555-0186,"$60,000.00 ",M,13,Bachelors,Professional,1
11100,6954 Ranch Road,5-10 Miles,latasha10@adventure-works.com,Latasha,Navarro,F,1 (11) 500 555-0123,"$60,000.00 ",S,28,Partial College,Skilled Manual,1
11101,7074 N. Spoonwood Court,0-1 Miles,abby4@adventure-works.com,Abby,Sai,F,1 (11) 500 555-0174,"$70,000.00 ",S,33,Bachelors,Professional,0
11102,2196 Coat Ct.,1-2 Miles,julia7@adventure-works.com,Julia,Nelson,F,1 (11) 500 555-0124,"$80,000.00 ",S,18,Bachelors,Professional,5
11103,9448 San Marino Ct.,5-10 Miles,cassie13@adventure-works.com,Cassie,Chande,F,1 (11) 500 555-0166,"$70,000.00 ",S,3,Bachelors,Professional,0
11104,6127 Lilly Lane,0-1 Miles,edgar11@adventure-works.com,Edgar,Sara,M,1 (11) 500 555-0125,"$70,000.00 ",M,23,Bachelors,Professional,0
11105,5029 Blue Ridge,5-10 Miles,candace15@adventure-works.com,Candace,Fernandez,F,1 (11) 500 555-0162,"$70,000.00 ",S,8,Bachelors,Professional,0
11106,3063 Blue Jay Drive,5-10 Miles,jessie9@adventure-works.com,Jessie,Liu,M,1 (11) 500 555-0163,"$70,000.00 ",S,40,Bachelors,Professional,0
11107,7530 Eola,5-10 Miles,bianca7@adventure-works.com,Bianca,Lin,F,1 (11) 500 555-0121,"$90,000.00 ",M,17,Bachelors,Professional,1
11108,9178 Thornhill Place,0-1 Miles,kari25@adventure-works.com,Kari,Alvarez,F,1 (11) 500 555-0169,"$70,000.00 ",S,13,Bachelors,Professional,0
11109,1984 Glendale Circle,0-1 Miles,ruben1@adventure-works.com,Ruben,Kapoor,M,1 (11) 500 555-0132,"$70,000.00 ",S,38,Bachelors,Professional,0
11110,4052 Mt. Wilson Way,5-10 Miles,curtis5@adventure-works.com,Curtis,Yang,M,1 (11) 500 555-0127,"$60,000.00 ",M,3,Partial College,Skilled Manual,1
11111,7610 Northridge Ct.,0-1 Miles,meredith34@adventure-works.com,Meredith,Gutierrez,F,1 (11) 500 555-0179,"$60,000.00 ",M,34,Partial College,Skilled Manual,1
11112,2773 Kirkwood Dr,0-1 Miles,crystal3@adventure-works.com,Crystal,Wang,F,1 (11) 500 555-0134,"$60,000.00 ",M,25,Partial College,Skilled Manual,1
11113,596 Marfargoa Drive,5-10 Miles,micheal11@adventure-works.com,Micheal,Blanco,M,1 (11) 500 555-0131,"$70,000.00 ",M,30,Bachelors,Professional,5
11114,7941 Cristobal,5-10 Miles,leslie7@adventure-works.com,Leslie,Moreno,F,1 (11) 500 555-0115,"$70,000.00 ",S,14,Partial College,Skilled Manual,5
11115,7759 Azalea Avenue,0-1 Miles,alvin20@adventure-works.com,Alvin,Cai,M,1 (11) 500 555-0191,"$70,000.00 ",M,17,Partial College,Skilled Manual,5
11116,7943 Cunha Ct.,5-10 Miles,clinton14@adventure-works.com,Clinton,Carlson,M,1 (11) 500 555-0184,"$70,000.00 ",M,18,Partial College,Skilled Manual,5
11117,485 Ash Lane,10+ Miles,april1@adventure-works.com,April,Deng,F,1 (11) 500 555-0182,"$70,000.00 ",M,8,Partial College,Skilled Manual,5
11118,3853 Wildcat Circle,0-1 Miles,alvin21@adventure-works.com,Alvin,Zeng,M,1 (11) 500 555-0174,"$80,000.00 ",S,6,Partial College,Skilled Manual,1
11119,4157 Sierra Ridge,0-1 Miles,evan8@adventure-works.com,Evan,James,M,1 (11) 500 555-0187,"$30,000.00 ",S,13,Partial College,Clerical,2
11120,7401 Las Palmas,5-10 Miles,beth8@adventure-works.com,Beth,Jiménez,F,1 (11) 500 555-0164,"$40,000.00 ",S,18,Bachelors,Management,2
11121,7743 Hames Dr,10+ Miles,orlando19@adventure-works.com,Orlando,Suarez,M,1 (11) 500 555-0198,"$70,000.00 ",M,10,Partial College,Skilled Manual,5
11122,3187 Hackamore Lane,5-10 Miles,byron9@adventure-works.com,Byron,Vazquez,M,1 (11) 500 555-0136,"$70,000.00 ",M,12,Partial College,Skilled Manual,5
11123,2775 Mt. Olivet Pl.,10+ Miles,philip4@adventure-works.com,Philip,Alvarez,M,1 (11) 500 555-0191,"$70,000.00 ",M,39,Partial College,Skilled Manual,5
11124,6973 Dublin Court,5-10 Miles,ross1@adventure-works.com,Ross,Jordan,M,1 (11) 500 555-0126,"$80,000.00 ",S,40,Partial College,Skilled Manual,1
11125,8481 Zartop Street,5-10 Miles,dana2@adventure-works.com,Dana,Navarro,F,1 (11) 500 555-0172,"$70,000.00 ",S,37,Partial College,Skilled Manual,1
11126,57 Wolf Way,0-1 Miles,shaun16@adventure-works.com,Shaun,Carson,M,1 (11) 500 555-0155,"$10,000.00 ",M,11,High School,Skilled Manual,2
11127,9409 The Alameda,5-10 Miles,jan11@adventure-works.com,Jan,Edwards,F,111-555-0118,"$40,000.00 ",M,361,High School,Skilled Manual,0
11128,1606 Alderwood Lane,5-10 Miles,samantha35@adventure-works.com,Samantha,Long,F,175-555-0139,"$40,000.00 ",M,635,High School,Skilled Manual,0
11129,7397 Central Blvd.,5-10 Miles,julia17@adventure-works.com,Julia,Wright,F,456-555-0174,"$40,000.00 ",S,638,High School,Skilled Manual,0
11130,3884 Bates Court,5-10 Miles,caroline21@adventure-works.com,Caroline,Russell,F,424-555-0137,"$30,000.00 ",M,543,High School,Skilled Manual,0
11131,9573 Royal Oak Rd.,0-1 Miles,amanda7@adventure-works.com,Amanda,Rivera,F,918-555-0126,"$30,000.00 ",M,50,High School,Skilled Manual,0
11132,6832 Fruitwood Dr,5-10 Miles,melissa31@adventure-works.com,Melissa,Richardson,F,928-555-0118,"$30,000.00 ",S,51,High School,Skilled Manual,0
11133,3828 Baltic Sea Ct,0-1 Miles,angela23@adventure-works.com,Angela,Griffin,F,598-555-0174,"$30,000.00 ",S,542,Partial High School,Clerical,0
11134,7034 Carson,5-10 Miles,larry14@adventure-works.com,Larry,Townsend,M,1 (11) 500 555-0130,"$10,000.00 ",S,30,High School,Skilled Manual,5
11135,9068 Quiet Place Drive,5-10 Miles,marcus14@adventure-works.com,Marcus,Harris,M,442-555-0119,"$30,000.00 ",S,302,Partial High School,Clerical,0
11136,9005 Eagle Ct.,0-1 Miles,brianna30@adventure-works.com,Brianna,Morgan,F,954-555-0117,"$40,000.00 ",S,53,High School,Skilled Manual,0
11137,2457 Matterhorn Court,5-10 Miles,jasmine7@adventure-works.com,Jasmine,Taylor,F,557-555-0146,"$40,000.00 ",M,641,High School,Skilled Manual,0
11138,8105 Pembrook Court,0-1 Miles,lauren23@adventure-works.com,Lauren,Davis,F,832-555-0121,"$40,000.00 ",M,325,High School,Skilled Manual,0
11139,6155 Wilbur Drive,5-10 Miles,tanya2@adventure-works.com,Tanya,Moreno,F,1 (11) 500 555-0185,"$30,000.00 ",S,28,Partial College,Clerical,2
11140,8935 Etcheverry Dr.,5-10 Miles,javier1@adventure-works.com,Javier,Alvarez,M,763-555-0134,"$30,000.00 ",S,301,Partial High School,Clerical,0
11141,1101 C Street,0-1 Miles,nicole42@adventure-works.com,Nicole,Ramirez,F,152-555-0162,"$40,000.00 ",M,314,High School,Skilled Manual,0
11142,6255 Macalvey Dr.,0-1 Miles,eduardo55@adventure-works.com,Eduardo,Patterson,M,190-555-0184,"$40,000.00 ",S,51,High School,Skilled Manual,0
11143,165 East Lane Road,5-10 Miles,jonathan4@adventure-works.com,Jonathan,Henderson,M,149-555-0113,"$40,000.00 ",M,334,High School,Skilled Manual,0
11144,7607 Pine Hollow Road,0-1 Miles,edward48@adventure-works.com,Edward,Hernandez,M,178-555-0196,"$40,000.00 ",S,607,High School,Skilled Manual,0
11145,1961 Oak Grove Road,0-1 Miles,jasmine46@adventure-works.com,Jasmine,Coleman,F,857-555-0115,"$40,000.00 ",S,536,High School,Skilled Manual,0
11146,3272 Corrie Lane,5-10 Miles,karla20@adventure-works.com,Karla,Goel,F,1 (11) 500 555-0137,"$40,000.00 ",S,8,Bachelors,Management,2
11147,1832 RiverRock Dr,0-1 Miles,ernest6@adventure-works.com,Ernest,Wu,M,1 (11) 500 555-0139,"$60,000.00 ",M,40,Graduate Degree,Management,2
11148,1201 Paso Del Rio Way,5-10 Miles,ross32@adventure-works.com,Ross,Vazquez,M,1 (11) 500 555-0163,"$40,000.00 ",M,22,Bachelors,Management,2
11149,9120 Pinewood Court,0-1 Miles,theodore14@adventure-works.com,Theodore,Gill,M,1 (11) 500 555-0194,"$40,000.00 ",M,25,Bachelors,Management,2
11150,4755 Easley Drive,5-10 Miles,russell6@adventure-works.com,Russell,Shen,M,1 (11) 500 555-0191,"$40,000.00 ",S,39,Bachelors,Management,2
11151,805 Rainier Dr.,0-1 Miles,melinda9@adventure-works.com,Melinda,Gill,F,1 (11) 500 555-0117,"$60,000.00 ",S,18,Graduate Degree,Management,2
11152,6827 Seagull Court,5-10 Miles,james77@adventure-works.com,James,Williams,M,355-555-0153,"$40,000.00 ",S,633,High School,Skilled Manual,0
11153,8877 Weatherly Drive,5-10 Miles,angela34@adventure-works.com,Angela,James,F,847-555-0111,"$40,000.00 ",M,635,High School,Skilled Manual,0
11154,6898 Holiday Hills,5-10 Miles,megan25@adventure-works.com,Megan,Walker,F,918-555-0186,"$40,000.00 ",S,553,Partial College,Skilled Manual,0
11155,8356 Mori Court,1-2 Miles,hunter50@adventure-works.com,Hunter,Robinson,M,891-555-0125,"$40,000.00 ",S,301,Partial College,Skilled Manual,0
11156,9452 Mariposa Ct.,1-2 Miles,maria47@adventure-works.com,Maria,Roberts,F,158-555-0199,"$40,000.00 ",S,334,Partial College,Skilled Manual,0
11157,1832 Preston Ct.,5-10 Miles,hannah32@adventure-works.com,Hannah,Long,F,974-555-0177,"$40,000.00 ",M,642,High School,Skilled Manual,0
11158,6771 Bundros Court,5-10 Miles,jason46@adventure-works.com,Jason,Wright,M,694-555-0176,"$40,000.00 ",S,361,High School,Skilled Manual,0
11159,6793 Bonifacio St.,1-2 Miles,brianna57@adventure-works.com,Brianna,Hughes,F,319-555-0183,"$40,000.00 ",S,385,High School,Skilled Manual,0
11160,2886 Chaparral Court,5-10 Miles,maurice4@adventure-works.com,Maurice,Tang,M,947-555-0172,"$40,000.00 ",S,311,Partial College,Skilled Manual,0
11161,1562 Black Walnut,1-2 Miles,emily27@adventure-works.com,Emily,Wood,F,184-555-0114,"$40,000.00 ",S,311,Partial College,Skilled Manual,0
11162,P.O. Box 8070,5-10 Miles,chase10@adventure-works.com,Chase,Cox,M,764-555-0116,"$40,000.00 ",S,331,Partial College,Skilled Manual,0
11163,8002 Crane Court,5-10 Miles,gabriel21@adventure-works.com,Gabriel,Wang,M,617-555-0150,"$40,000.00 ",M,372,Partial College,Skilled Manual,0
11164,4231 Highland Dr.,1-2 Miles,devin63@adventure-works.com,Devin,Brooks,M,502-555-0138,"$40,000.00 ",S,374,Partial College,Skilled Manual,0
